,date,open,high,low,close,volume,_avgTR,avgTR,highestC,lowestC,hiLimit,loLimit,ret,pos,rising,falling,enterLong,enterShort,trade,longStopPrice,shortStopPrice,Long_exit,Short_exit,entry,exit
0,2019-09-08 00:00:00+00:00,10000.0,10412.65,10000.0,10391.63,3096.291,,,,,,,10391.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,2019-09-09 00:00:00+00:00,10316.62,10475.54,10077.22,10307.0,14824.373,398.3200000000015,,,,,,10307.0,0.0,,,False,False,,,,False,False,,
2,2019-09-10 00:00:00+00:00,10307.0,10382.97,9940.87,10102.02,9068.955,442.09999999999854,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
3,2019-09-11 00:00:00+00:00,10094.27,10293.11,9884.31,10159.55,10897.922,408.8000000000011,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
4,2019-09-12 00:00:00+00:00,10163.06,10450.13,10042.12,10415.13,15609.634,408.0099999999984,,,,,,10307.0,0.0,True,False,False,False,,0.0,999999.0,False,False,,
5,2019-09-13 00:00:00+00:00,10414.96,10440.55,10153.51,10341.34,19252.721,287.03999999999905,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
6,2019-09-14 00:00:00+00:00,10343.01,10419.97,10222.77,10332.25,20656.624,197.1999999999989,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
7,2019-09-15 00:00:00+00:00,10333.47,10359.2,10024.81,10302.22,20536.255,334.39000000000124,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
8,2019-09-16 00:00:00+00:00,10302.0,10353.81,10080.7,10249.27,20185.637,273.10999999999876,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
9,2019-09-17 00:00:00+00:00,10257.3,10270.63,10136.77,10186.52,22519.607,133.85999999999876,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
10,2019-09-18 00:00:00+00:00,10183.87,10256.65,10097.92,10155.16,20832.895,158.72999999999956,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
11,2019-09-19 00:00:00+00:00,10154.7,10331.62,9530.02,10245.3,26228.754,801.6000000000004,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
12,2019-09-20 00:00:00+00:00,10247.7,10279.3,10070.5,10166.35,23265.91,208.79999999999927,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
13,2019-09-21 00:00:00+00:00,10166.56,10175.3,9912.63,9983.33,23642.387,262.6700000000001,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
14,2019-09-22 00:00:00+00:00,9992.7,10089.52,9857.0,10023.04,23916.354,232.52000000000044,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
15,2019-09-23 00:00:00+00:00,10027.69,10046.91,9620.0,9701.96,31927.062,426.90999999999985,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
16,2019-09-24 00:00:00+00:00,8683.2,9792.83,8645.61,8645.61,29758.535,1147.2199999999993,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
17,2019-09-25 00:00:00+00:00,8493.32,8725.24,8200.0,8430.07,48222.102,525.2399999999998,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
18,2019-09-26 00:00:00+00:00,8428.15,8464.4,7700.67,8060.15,60065.945,763.7299999999996,,,,,,10307.0,0.0,False,True,False,False,,0.0,999999.0,False,False,,
19,2019-09-27 00:00:00+00:00,8061.98,8260.0,7851.94,8176.52,40034.653,408.0600000000004,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
20,2019-09-28 00:00:00+00:00,8178.26,8311.0,8001.14,8195.38,33820.919,309.8599999999997,,,,,,10307.0,0.0,True,False,False,False,,0.0,999999.0,False,False,,
21,2019-09-29 00:00:00+00:00,8199.0,8226.35,7888.98,8041.96,35966.056,337.3700000000008,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
22,2019-09-30 00:00:00+00:00,8042.08,8331.89,7709.01,8285.84,54412.52,622.8799999999992,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
23,2019-10-01 00:00:00+00:00,8285.31,8499.0,8171.0,8290.0,39212.804,328.0,,,,,,10307.0,0.0,True,False,False,False,,0.0,999999.0,False,False,,
24,2019-10-02 00:00:00+00:00,8290.0,8365.92,8149.35,8352.14,30329.179,216.5699999999997,,,,,,10307.0,0.0,True,False,False,False,,0.0,999999.0,False,False,,
25,2019-10-03 00:00:00+00:00,8353.4,8386.0,8020.0,8220.27,33430.23,366.0,,,,,,10307.0,0.0,False,False,False,False,,0.0,999999.0,False,False,,
